År,Type,Marked,Score,Plassering
2020,Hansa Julebrygg,Butikk,24.17,16
2020,Aass Vellagret Juleøl,Vinmonopolet,71.83,4
2020,Ringnes Julebokk,Vinmonopolet,56.17,8
2020,CB Juleøl,Vinmonopolet,35.33,12
2020,St.Niklas Juleøl,Vinmonopolet,27.17,14
2020,Lindesnes Rock`n`Roll Juleøl,Butikk,37.67,11
2020,Nøgne Ø Julequad 2020,Vinmonopolet,31.33,12
2020,Nøgne Ø Hvit Jul,Butikk,14.83,17
2020,Mack God Jul 2020,Vinmonopolet,62.67,6
2020,CB Juleøl,Butikk,62.17,7
2020,7 Fjell Lys Juleøl,Butikk,25.33,15
2020,De Tvende Winterwald Julebock,Vinmonopolet,81.17,3
2020,Kinn Solsnu,Vinmonopolet,46.17,9
2020,Haandbryggeriet Nissemor,Vinmonopolet,86,1
2020,Hunsfos Juleøl,Butikk,66.5,5
2020,Hunsfos Direktørens Jul,Vinmonopolet,84.33,2
2020,Hansa Juleøl,Vinmonopolet,46.67,9
